"veldspar",333,1000,0,0,0,0,0,0,0
"veldspar, concentrated",333,1050,0,0,0,0,0,0,0
"veldspar, dense",333,1100,0,0,0,0,0,0,0
"scordite",333,833,416,0,0,0,0,0,0
"scordite, condensed",333,874,436,0,0,0,0,0,0
"scordite, massive",333,916,457,0,0,0,0,0,0
"plagioclase",333,256,512,256,0,0,0,0,0
"plagioclase, azure",333,268,537,268,0,0,0,0,0
"plagioclase, rich",333,281,563,281,0,0,0,0,0
"pyroxeres",333,844,59,120,0,11,0,0,0
"pyroxeres, solid",333,886,61,126,0,11,0,0,0
"pyroxeres, viscous",333,928,64,132,0,12,0,0,0
"omber",500,307,123,0,307,0,0,0,0
"omber, silvery",500,322,129,0,322,0,0,0,0
"omber, golden",500,337,135,0,337,0,0,0,0
"kernite",400,386,0,773,386,0,0,0,0
"kernite, luminous",400,405,0,811,405,0,0,0,0
"kernite, fiery",400,424,0,850,424,0,0,0,0
"jaspet",500,259,259,518,0,259,8,0,0
"jaspet, pure",500,271,271,543,0,271,8,0,0
"jaspet, pristine",500,284,284,569,0,284,8,0,0
"hemorphite",500,212,0,0,212,424,28,0,0
"hemorphite, vivid",500,222,0,0,222,445,29,0,0
"hemorphite, radiant",500,233,0,0,233,466,30,0,0
"hedbergite",500,0,0,0,708,354,32,0,0
"hedbergite, vitric",500,0,0,0,743,371,33,0,0
"hedbergite, glazed",500,0,0,0,778,389,35,0,0
"gneiss",400,171,0,171,343,0,171,0,0
"gneiss, iridescent",400,179,0,179,360,0,179,0,0
"gneiss, prismatic",400,188,0,188,377,0,188,0,0
"ochre, dark",400,250,0,0,0,500,250,0,0
"ochre, onyx",400,262,0,0,0,525,262,0,0
"ochre, obsidian",400,275,0,0,0,550,275,0,0
"spodumain",250,700,140,0,0,0,0,140,0
"spodumain, bright",250,735,147,0,0,0,0,147,0
"spodumain, gleaming",250,770,154,0,0,0,0,154,0
"crokite",250,331,0,0,0,331,663,0,0
"crokite, sharp",250,347,0,0,0,347,696,0,0
"crokite, crystalline",250,364,0,0,0,364,729,0,0
"bistot",200,0,170,0,0,0,341,170,0
"bistot, triclinic",200,0,178,0,0,0,358,178,0
"bistot, monoclinic",200,0,187,0,0,0,375,187,0
"arkonor",250,300,0,0,0,0,166,333,0
"arkonor, crimson",250,315,0,0,0,0,174,349,0
"arkonor, prime",250,330,0,0,0,0,182,366,0
"mercoxit",250,0,0,0,0,0,0,0,530
"mercoxit, magma",250,0,0,0,0,0,0,0,556
"mercoxit, vitreous",250,0,0,0,0,0,0,0,583
